"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"0A825CB8/165/0";"&amp;Browse...";"浏览(&amp;B)...";;
"0A825CB8/166/0";"File Naming";"文件命名";;
"0A825CB8/167/0";"&amp;Add to original file names:";"附加至原始文件名(&amp;A)：";;
"0A825CB8/168/0";"+original file name+";"+原始文件名+";;
"0A825CB8/169/0";"&amp;Keep original file names";"保留原始文件名(&amp;K)";;
"0A825CB8/170/0";"Insert After";"之后插入";;
"0A825CB8/171/0";".pdf";".pdf";;
"0A825CB8/172/0";"&amp;Replace file names with starting and ending Bates number (e.g.000100-000115.pdf)";"用开始与结束的贝茨数替换文件名 (e.g.000100-000115.pdf)(&amp;R)";;
"0A825CB8/173/0";"O&amp;verwrite existing files";"覆盖已经存在的文件(&amp;V)";;
"0A825CB8/174/0";"Insert Before";"之前插入";;
"0A825CB8/175/0";"&amp;Log File";"日志文件(&amp;L)";;
"0A825CB8/176/0";"&amp;Create log file";"创建日志文件(&amp;C)";;
"0A825CB8/177/0";"C&amp;hange log file location";"更改日志文件路径(&amp;H)";;
"0A825CB8/178/0";"Password";"密码";;
"0A825CB8/179/0";"This document is protected. Please enter a Permission Password.";"当前文档已被加密。请输入权限密码解密。";;
"0A825CB8/180/0";"Password:";"密码：";;
"0A825CB8/181/0";"Warnings";"警告";;
"0A825CB8/182/0";"OK";"确定";;
"0A825CB8/131/0";"Dialog";"Dialog";;
"0A825CB8/132/0";"Add &amp;files...";"添加文件(&amp;F)...";;
"0A825CB8/133/0";"placeholder";"placeholder";;
"0A825CB8/134/0";"Please remove problem files from the list.";"请从列表中移除有问题的文件。";;
"0A825CB8/135/0";"Remove unsupported file(s)";"移除未支持的文件";;
"0A825CB8/136/0";"Move &amp;up";"上移(&amp;U)";;
"0A825CB8/137/0";"Move &amp;down";"下移(&amp;D)";;
"0A825CB8/138/0";"&amp;Remove";"移除(&amp;R)";;
"0A825CB8/35/0";"Add Digital ID";"添加数字证书";;
"0A825CB8/36/0";"Enter your identity information to be used when generating the self-signed certificate.";"输入您在生成自签名数字证书时所要使用的身份信息。";;
"0A825CB8/37/0";"&amp;Name(e.g.John Smith):";"姓名(如史密斯)(&N)：";;
"0A825CB8/38/0";"Organizational &amp;Unit:";"组织单位(&amp;U)：";;
"0A825CB8/39/0";"&amp;Organization Name:";"组织名称(&amp;O)：";;
"0A825CB8/40/0";"&amp;Email Address:";"邮件地址(&amp;E)：";;
"0A825CB8/41/0";"Country/&amp;Region:";"国家/地区(&amp;R)：";;
"0A825CB8/42/0";"&amp;Key Algorithm:";"密钥算法(&K)：";;
"0A825CB8/43/0";"Use &amp;Digital ID for:";"证书用途(&amp;D)：";;
"0A825CB8/44/0";"&amp;Cancel";"取消(&amp;C)";;
"0A825CB8/45/0";"&amp;Back";"返回(&amp;B)";;
"0A825CB8/46/0";"Ne&amp;xt";"下一步(&amp;X)";;
"0A825CB8/47/0";"Add Digital ID";"添加数字证书";;
"0A825CB8/48/0";"Enter a file location and password for your new digital ID file. You will need the password when you use the digital ID to sign or decrypt documents. You should make a note of the file location so that you can copy this file for backup or other purposes.";"为您新建的数字证书输入文件路径以及密码。当您使用数字证书签名或者加密文档时，会用到该密码。您应该记下文件路径以便于对文件进行备份或者用于其它用途。 ";;
"0A825CB8/49/0";"&amp;File Name:";"文件名(&amp;N)：";;
"0A825CB8/50/0";"Bro&amp;wse...";"浏览(&amp;W)...";;
"0A825CB8/51/0";"&amp;Password:";"密码(&amp;P)：";;
"0A825CB8/52/0";"Confir&amp;m Password:";"确认密码(&amp;M)：";;
"0A825CB8/53/0";"&amp;Cancel";"取消(&amp;C)";;
"0A825CB8/54/0";"&amp;Back";"返回(&amp;B)";;
"0A825CB8/55/0";"Fi&amp;nish";"结束(&amp;N)";;
"0A825CB8/237/0";"Dialog";"Dialog";;
"0A825CB8/238/0";"&amp;Page:";"页面(&amp;P)：";;
"0A825CB8/239/0";"All pa&amp;ges";"全部页面(&amp;G)";;
"0A825CB8/240/0";"of";"/";;
"0A825CB8/241/0";"Sample:1,5-9,12";"范例：1,5-9,12";;
"0A825CB8/242/0";"Apply &amp;to:";"应用到(&amp;T)：";;
"0A825CB8/56/0";"Add Digital ID";"添加数字证书";;
"0A825CB8/57/0";"Browse for a digital ID file. Digital ID files are password protected and require your password in order to be opened.";"浏览且选择一个数字证书文件。数字证书文件受密码保护，需要您输入密码后才能打开。";;
"0A825CB8/58/0";"&amp;File Name:";"文件名(&amp;N)：";;
"0A825CB8/59/0";"Bro&amp;wse...";"浏览(&amp;W)...";;
"0A825CB8/60/0";"&amp;Password:";"密码(&amp;P)：";;
"0A825CB8/61/0";"&amp;Cancel";"取消(&amp;C)";;
"0A825CB8/62/0";"&amp;Back";"返回(&amp;B)";;
"0A825CB8/63/0";"Ne&amp;xt";"下一步(&amp;X)";;
"0A825CB8/245/0";"Preview";"预览";;
"0A825CB8/246/0";"Drag up/down to set the position of the seal";"可上/下拖拽骑缝章移位";;
"0A825CB8/247/0";"Appearance";"外观设置";;
"0A825CB8/248/0";"%";"%";;
"0A825CB8/255/0";"???????:";"首页骑缝章占比：";;
"0A825CB8/256/0";"???????????:";"每个骑缝章可加盖的页数：";;
"0A825CB8/257/0";"PushButton";"PushButton";;
"0A825CB8/243/0";"Select a signature";"选择签章";;
"0A825CB8/251/0";"Refresh Signature";"刷新签章";;
"0A825CB8/254/0";"The number of pages stamped with each page-crossing seal:";"每个骑缝章可加盖的页数：";;
"0A825CB8/249/0";"The proportion of the page-crossing seal on the first page:";"首页骑缝章占比：";;
"0A825CB8/258/0";"Page range:";"页面范围：";;
"002869F5/27/0";"This is a public entry file";"这是一个公共资源文件";;
"002869F5/28/0";"Copyright ? 2010-2026 Foxit Software Inc. All Rights Reserved.";"2010-2026 福昕软件 版权所有。";;
"002869F5/82/0";"table";"表";;
"002869F5/57/0";"Add Files...";"添加文件...";;
"002869F5/58/0";"Add Folder...";"添加文件夹...";;
"002869F5/59/0";"Add Open Files...";"添加打开的文件...";;
"002869F5/73/0";"Add Files";"添加文件";;
"002869F5/61/0";"There is file with same file name in this folder.|Document:|Command: Saving|Output:";"文件夹中已经存在一个同名文件。|文档：|命令：保存|输出：";;
"002869F5/74/0";"Document:/Command:/Output:";"文档：/命令：/输出：";;
"002869F5/75/0";"These selected settings will require overwriting existing files. Please allow this action or change to another option which will not require overwriting.";"这些选择的设置需要覆盖已经存在的文件。请允许这个行为，或者修改选项，不覆盖已经存在的文件。";;
"002869F5/76/0";"Select Folder for Output Files";"选择输出文件夹";;
"002869F5/77/0";"Did not save. Save would require overwriting existing file.";"没有保存。保存操作需要覆盖原先已经存在的文件。";;
"002869F5/78/0";"Saving";"正在保存";;
"002869F5/79/0";"The file may be read-only, or another user may have it open. Please save the document with a different name or in a different folder.";"文件只读，或者被其他用户打开。请选择不同文件名或文件夹保存文档。";;
"002869F5/60/0";"Please select a folder";"请选择一个文件夹";;
"002869F5/65/0";"&quot;%ls&quot; needs to be saved. \nDo you want to save changes and continue?";"“%ls” 需要保存。 \n您希望保存当前更改并继续吗？";;
"002869F5/89/0";"All pages in range";"范围内的所有页面";;
"002869F5/90/0";"Even pages only";"仅偶数页面";;
"002869F5/91/0";"Odd pages only";"仅奇数页面";;
"002869F5/70/0";"Please select the folder for output files.";"请为输出文件选择文件夹。";;
"002869F5/80/0";"File re-naming is not possible if you are outputting to an ECM (i.e. iManage, SharePoint, etc.)";"如果要输出到ECM（即iManage，SharePoint等），则无法重命名文件";;
"002869F5/71/0";"Please input a filename prefix or suffix.";"请输入一个文件名前缀或者后缀。";;
"002869F5/83/0";"Please enter a valid range.";"请输入一个有效范围。";;
"002869F5/72/0";"Current settings would require overwriting existing files. Please allow overwriting existing files,\nor change other settings so that overwriting is not necessary.";"当前的设置需要覆盖现有的文件。请允许覆盖现有文件，或更改其他设置，以便不需要覆盖。";;
"002869F5/88/0";"If you want to choose pages 3, 5 and 8, enter &quot;&quot;3,5,8&quot;&quot; in the text box. If you want to choose pages from 3 to 8, enter &quot;&quot;3-8&quot;&quot; in the text box.";"如果您想要选择第3，5，8页，在文本框中输入&quot;&quot;3,5,8&quot;&quot;。如果您想要选择第3页到第8页，在文本框中输入&quot;&quot;3-8&quot;&quot;。";;
"002869F5/87/0";"Page Range";"页面范围";;
"002869F5/29/0";"Disabling text access for screen reader devices for the visually impaired will make this document inaccessible to some disabled users and non-compliant with accessibility regulations such as US Government Section 508.";"禁用为视障人士启用屏幕阅读器设备的文本辅助工具将使得残障用户无法便利地使用该文档且不符合辅助功能法规，如美国政府部门的508法案。";;
"002869F5/92/0";"Calculating...";"正在计算...";;
"002869F5/30/0";"A digital ID file with the same name already exists. Would you like to replace the existing file?";"同名的数字证书文件已经存在。您是否想要替换已经存在的文件？ ";;
"002869F5/31/0";"Delete";"删除";;
"002869F5/32/0";"Digital ID Files";"数字证书文件";;
"002869F5/33/0";"None\\nInserting, deleting, and rotating pages\\nFilling in forms and signing existing signature fields\\nCommenting, filling form, signing existing signature fields\\nAny except extracting pages";"无\\n插入、删除、旋转页面\\n填写表单以及签署已经存在的签名域\\n注释、填写表单、签署已经存在的签名域\\n提取页面外的任何功能";;
"002869F5/34/0";"None\\nLow Resolution(150 dpi)\\nHigh Resolution";"无\\n低分辨率（150 dpi）\\n高分辨率";;
"002869F5/84/0";"There is no page numbered &apos;%s&apos; in this document.";"该文档中不存在页码为&quot;%s&quot;的页面。";;
"002869F5/35/0";"Expires";"过期";;
"002869F5/64/0";"Date";"日期";;
"002869F5/81/0";"File Name";"文件名";;
"002869F5/36/0";"Issuer";"颁发者";;
"002869F5/67/0";"Apple Keychain";"Apple Keychain";;
"002869F5/68/0";"Your digital ID will be stored in Apple Keychain where it will also be available to other applications.";"您的数字身份证将存储在Apple Keychain中，其他应用程序也可以使用它。";;
"002869F5/37/0";"Name";"名称";;
"002869F5/38/0";"The name you entered is too long. Please shorten it and try again.";"您输入的名称过长。请缩短后重试。 ";;
"002869F5/39/0";"Paste    Ctrl + V";"粘贴  Ctrl + V";;
"002869F5/69/0";"The digital ID cannot be saved. You don&apos;t currently have permission. Please save the digital ID with a different name or in a different folder.";"无法保存数字证书。您当前没有权限。请使用其他名称或其他文件夹保存证书。";;
"002869F5/93/0";"The page range should contain at least 2 pages.";"页面范围至少应该包含2页。";;
"002869F5/62/0";"The document could not be saved. The file may be read-only, or used by another application, please save it with a different name or in a different folder.";"无法保存此文档。它可能是只读的，或者是正在被其它应用程序使用。请重命名文档或者在不同的文件夹下保存。";;
"002869F5/40/0";"1024-bit RSA\\n2048-bit RSA";"1024位RSA\\n2048位RSA";;
"002869F5/41/0";"&lt;none&gt;\\n";"&lt;无&gt;\\n";;
"002869F5/42/0";"AD Andorra\\nAE United Arab Emirates\\nAF Afghanistan\\nAG Antigua and Barbuda\\nAI Anguilla\\nAL Albania\\nAM Armenia\\nAN Netherlands Antilles\\nAO Angola\\nAQ Antarctica\\nAR Argentina\\nAS American Samoa\\nAT Austria\\nAU Australia\\nAW Aruba\\nAX Aland\\nAZ Azerbaijan\\nBA Bosnia and Herzegovina\\nBB Barbados\\nBD Bangladesh\\nBE Belgium\\nBF Burkina Faso\\nBG Bulgaria\\nBH Bahrain\\nBI Burundi\\nBJ Benin\\nBM Bermuda\\nBN Brunei Darussalam\\nBO Bolivia\\nBR Brazil\\nBS Bahamas\\nBT Bhutan\\nBV Bouvet Island\\nBW Botswana\\nBY Belarus\\nBZ Belize\\nCA Canada\\nCC Cocos Island\\nCD Congo, the Democratic Republic of the\\nCF Central African Republic\\nCG Congo\\nCH Switzerland\\nCK Cook Islands\\nCL Chile\\nCM Cameroon\\nCN China\\nCO Colombia\\nCR Costa Rica\\nCS Serbia\\nCU Cuba\\nCX Christmas Island\\nCY Cyprus\\nCZ Czech Republic\\nDE Germany\\nDJ Djibouti\\nDK Denmark\\nDM Dominica\\nDO Dominican Republic\\nDZ Algeria\\nEC Ecuador\\nEE Estonia\\nEG Egypt\\nEH Western Sahara\\nER Eritrea\\nES Spain\\nET Ethiopia\\nFI Finland\\nFJ Fiji\\nFK Falkland Islands (Malvinas)\\n";"AD 安道尔\\nAE 阿拉伯联合酋长国\\nAF 阿富汗\\nAG 安提瓜和巴布达\\nAI 安圭拉\\nAL 阿尔巴尼亚\\nAM 亚美尼亚\\nAN 荷属安地列斯群岛\\nAO 安哥拉\\nAQ 南极洲\\nAR 阿根廷\\nAS 美属萨摩亚\\nAT 奥地利\\nAU 澳大利亚\\nAW 阿鲁巴\\nAX 奥兰\\nAZ 阿塞拜疆\\nBA 波斯尼亚及赫塞哥维纳\\nBB 巴巴多斯\\nBD 孟加拉国\\nBE 比利时\\nBF 布基纳法索\\nBG 保加利亚\\nBH 巴林\\nBI 布隆迪\\nBJ 贝宁\\nBM 百慕大\\nBN 文莱达鲁萨兰国\\nBO 玻利维亚\\nBR 巴西\\nBS 巴哈马\\nBT 不丹\\nBV 布维岛\\nBW 博茨瓦纳\\nBY 白俄罗斯\\nBZ 伯利兹\\nCA 加拿大\\nCC 科科斯群岛\\nCD 刚果民主共和国\\nCF 中非共和国\\nCG 刚果\\nCH 瑞士\\nCI 科特迪瓦\\nCK 库克群岛\\nCL 智利\\nCM 喀麦隆\\nCN 中国\\nCO 哥伦比亚\\nCR 哥斯达黎加\\nCS 塞尔维亚\\nCU 古巴\\nCV 佛得角\\nCX 圣诞岛\\nCY 塞浦路斯\\nCZ 捷克共和国\\nDE 德国\\nDJ 吉布提\\nDK 丹麦\\nDM 多米尼克\\nDO 多米尼加共和国\\nDZ 阿尔及利亚\\nEC 厄瓜多尔\\nEE 爱沙尼亚\\nEG 埃及\\nEH 西撒哈拉\\nER 厄立特里亚\\nES 西班牙\\nET 埃塞俄比亚\\nFI 芬兰\\nFJ 斐济\\nFK 福克兰群岛 (马尔维纳斯群岛)\\n\n";;
"002869F5/43/0";"FM Federated States of Micronesia\\nFO Faroe Islands\\nFR France\\nGA Gabon\\nGB United Kingdom\\nGD Grenada\\nGE Georgia\\nGF French Guiana\\nGH Ghana\\nGI Gibraltar\\nGL Greenland\\nGM Gambia\\nGN Guinea\\nGP Guadeloupe\\nGQ Equatorial Guinea\\nGR Greece\\nGS South Georgia and the South Sandwich Islands\\nGT Guatemala\\nGU Guam\\nGW Guinea-Bissau\\nGY Guyana\\nHK Hong Kong\\nHM Heard Island and McDonald Islands\\nHN Honduras\\nHR Croatia\\nHT Haiti\\nHU Hungary\\nID Indonesia\\nIE Ireland\\nIL Israel\\nIN India\\nIO British Indian Ocean Territory\\nIQ Iraq\\nIR Iran, Islamic Republic Of\\nIS Iceland\\nIT Italy\\nJM Jamaica\\nJO Jordan\\nJP Japan\\nKE Kenya\\nKG Kyrgyzstan\\nKH Cambodia\\nKI Kiribati\\nKM Comoros\\nKN Saint Kitts and Nevis\\nKP Korea, Democratic People&apos;s Republic of\\nKR Korea, Republic of\\nKW Kuwait\\nKY Cayman Islands\\nKZ Kazakhstan\\nLA Laos People&apos;s Democratic Republic\\nLB Lebanon\\nLC Saint Lucia\\nLI Liechtenstein\\nLK Sri Lanka\\nLR Liberia\\nLS Lesotho\\nLT Lithuania\\nLU Luxembourg\\nLV Latvia\\nLY Libya Arab Jamahiria\\nMA Morocco\\n";"FM 密克罗尼西亚联邦\\nFO 法罗群岛\\nFR 法国\\nGA 加蓬\\nGB 大不列颠及北爱尔兰联合王国\\nGD 格林纳达\\nGE 格鲁吉亚\\nGF 法属圭亚那\\nGH 加纳\\nGI 直布罗陀\\nGL 格陵兰\\nGM 冈比亚\\nGN 几内亚\\nGP 瓜德罗普岛\\nGQ 赤道几内亚\\nGR 希腊\\nGS 南格鲁吉亚和南桑威奇群岛\\nGT 危地马拉\\nGU 关岛\\nGW 几内亚比绍\\nGY 圭亚那\\nHK 香港\\nHM 赫德岛和麦克唐纳群岛\\nHN 洪都拉斯\\nHR 克罗地亚\\nHT 海地\\nHU 匈牙利\\nID 印度尼西亚\\nIE 爱尔兰\\nIL 以色列\\nIN 印度\\nIO 英属印度洋领地\\nIQ 伊拉克\\nIR 伊朗，伊斯兰共和国\\nIS 冰岛\\nIT 意大利\\nJM 牙买加\\nJO 约旦\\nJP 日本\\nKE 肯尼亚\\nKG 吉尔吉斯斯坦\\nKH 柬埔寨\\nKI 基里巴斯\\nKM 科摩罗\\nKN 圣基茨和尼维斯\\nKP 朝鲜民主主义人民共和国\\nKR 朝鲜共和国\\nKW 科威特\\nKY 开曼群岛\\nKZ 哈萨克斯坦\\nLA 老挝人民民主共和国\\nLB 黎巴嫩\\nLC 圣卢西亚\\nLI 列支敦士登\\nLK 斯里兰卡\\nLR 利比里亚\\nLS 莱索托\\nLT 立陶宛\\nLU 卢森堡\\nLV 拉脱维亚\\nLY 利比亚\\nMA 摩洛哥\\n";;
"002869F5/44/0";"MC Monaco\\nMD Moldova, Republic of\\nMG Madagascar\\nMH Marshall Islands\\nMK Macedonia, The Former Yugoslavian Republic\\nML Mali\\nMM Myanmar\\nMN Mongolia\\nMO Macao\\nMP Northern Marianna Islands\\nMQ Martinique\\nMR Mauritania\\nMS Montserrat\\nMT Malta\\nMU Mauritius\\nMV Maldives\\nMW Malawi\\nMX Mexico\\nMY Malaysia\\nMZ Mozambique\\nNA Namibia\\nNC New Caledonia\\nNE Niger\\nNF Norfolk Islands\\nNG Nigeria\\nNI Nicaragua\\nNL Netherlands\\nNO Norway\\nNP Nepal\\nNR Nauru\\nNU Niue\\nNZ New Zealand\\nOM Oman\\nPA Panama\\nPE Peru\\nPF French Polynesia\\nPG Papua New Guinea\\nPH Philippines\\nPK Pakistan\\nPL Poland\\nPM Saint Pierre and Miquelon\\nPN Pitcairn\\nPR Puerto Rico\\nPS Palestinian Territory, Occupied\\nPT Portugal\\nPW Palau\\nPY Paraguay\\nQA Qatar\\nRE Reunion\\nRO Romania\\nRU Russian Federation\\nRW Rwanda\\nSA Saudi Arabia\\nSB Solomon Islands\\nSC Seychelles\\nSD Sudan\\nSE Sweden\\nSG Singapore\\nSH Saint Helena\\nSI Slovenia\\nSJ Svalbard And Jan Mayen\\nSK Slovakia\\nSL Sierra Leone\\nSM San Marino\\nSN Senegal\\nSO Somalia\\nSR Suriname\\n";"MC 摩纳哥\\nMD 摩尔多瓦共和国\\nMG 马达加斯加\\nMH 马绍尔群岛\\nMK 马其顿，前南斯拉夫共和国\\nML 马里\\nMM 缅甸\\nMN 蒙古\\nMO 澳门\\nMP 北马里亚纳群岛\\nMQ 马提尼克岛\\nMR 毛里塔尼亚\\nMS 蒙特塞拉特\\nMT 马耳他\\nMU 毛里求斯\\nMV 马尔代夫\\nMW 马拉维\\nMX 墨西哥\\nMY 马来西亚\\nMZ 莫桑比克\\nNA 纳米比亚\\nNC 新喀里多尼亚\\nNE 尼日尔\\nNF 诺福克群岛\\nNG 尼日利亚\\nNI 尼加拉瓜\\nNL 荷兰\\nNO 挪威\\nNP 尼泊尔\\nNR 瑙鲁\\nNU 纽埃\\nNZ 新西兰\\nOM 阿曼\\nPA 巴拿马\\nPE 秘鲁\\nPF 法属波利尼西亚\\nPG 巴布亚新几内亚\\nPH 菲律宾\\nPK 巴基斯坦\\nPL 波兰\\nPM 圣皮埃尔和密克隆群岛\\nPN 皮特凯恩\\nPR 波多黎各\\nPS 巴勒斯坦占领区\\nPT 葡萄牙\\nPW 帕劳\\nPY 巴拉圭\\nQA 卡塔尔\\nRE 留尼汪岛\\nRO 罗马尼亚\\nRU 俄罗斯联邦\\nRW 卢旺达\\nSA 沙特阿拉伯\\nSB 所罗门群岛\\nSC 塞舌尔\\nSD 苏丹\\nSE 瑞典\\nSG 新加坡\\nSH 圣赫勒拿\\nSI 斯洛文尼亚\\nSJ 斯瓦尔巴和扬马延岛\\nSK 斯洛伐克\\nSL 塞拉利昂\\nSM 圣马力诺\\nSN 塞内加尔\\nSO索马里\\nSR 苏里南\\n\n";;
"002869F5/45/0";"ST Sao Tome and Principe\\nSV El Salvador\\nSY Syrian Arab Republic\\nSZ Swaziland\\nTC Turks And Caicos Islands\\nTD Chad\\nTF French Southern Territories\\nTG Togo\\nTH Thailand\\nTJ Tajikistan\\nTK Tokelau\\nTL Timor-Leste\\nTM Turkmenistan\\nTN Tunisia\\nTO Tonga\\nTP East Timor\\nTR Turkey\\nTT Trinidad And Tobago\\nTV Tuvalu\\nTW Taiwan\\nTZ Tanzania, United Republic Of\\nUA Ukraine\\nUG Uganda\\nUK United Kingdom\\nUM United States Minor Outlying Islands\\nUS United States\\nUY Uruguay\\nUZ Uzbekistan\\nVA Vatican\\nVC Saint Vincent And The Grenadines\\nVE Venezuela\\nVG Virgin Islands, British\\nVI Virgin Islands, U.S.\\nVN Vietnam\\nVU Vanuatu\\nWF Wallis And Futuna\\nWS Samoa\\nYE Yemen\\nYT Mayotte\\nZA South Africa\\nZM Zambia\\nZW Zimbabwe";"ST 圣多美和普林西比\\nSV 萨尔瓦多\\nSY 阿拉伯叙利亚共和国\\nSZ 斯威士兰\\nTC 特克斯和凯科斯群岛\\nTD 乍得\\nTF 法国南部领土\\nTG 多哥\\nTH 泰国\\nTJ 塔吉克斯坦\\nTK 托克劳\\nTL 东帝汶\\nTM 土库曼斯坦\\nTN 突尼斯\\nTO 汤加\\nTP 东帝汶\\nTR 土耳其\\nTT 特立尼达和多巴哥\\nTV 图瓦卢\\nTW 台湾\\nTZ 坦桑尼亚联合共和国\\nUA 乌克兰\\nUG 乌干达\\nUK 英国\\nUM 美国小奥特兰群岛\\nUS 美国\\nUY 乌拉圭\\nUZ 乌兹别克斯坦\\nVA 梵蒂冈\\nVC 圣文森特和格林纳丁斯\\nVE 委内瑞拉\\nVG 英属维尔京群岛\\nVI 美属维尔京群岛\\nVN 越南\\nVU 瓦努阿图\\nWF 瓦利斯群岛和富图纳群岛\\nWS 萨摩亚\\nYE 也门\\nYT 马约特岛\\nZA 南非\\nZM 赞比亚\\nZW 津巴布韦";;
"002869F5/46/0";"Finish";"完成";;
"002869F5/47/0";"File name may not be empty.";"文件名不能为空。";;
"002869F5/48/0";"File does not exist.";"文件不存在。";;
"002869F5/49/0";"A name is required to create a self-signed digital ID.";"创建自签名数字证书需要输入名称。";;
"002869F5/50/0";"Password must be at least six characters long.";"密码必须至少包含6个字符。";;
"002869F5/51/0";"The file or password is invalid.";"文件或者密码不合法。";;
"002869F5/52/0";"Password does not match.";"密码不匹配。";;
"002869F5/53/0";"Enter a password to open the digital ID file.";"输入密码以打开该数字证书文件。";;
"002869F5/54/0";"Digital Signatures\\nData Encryption\\nDigital Signatures and Data Encryption";"数字签名\\n数据加密\\n数字签名与数据加密";;
"002869F5/86/0";"To use logical page number, enclose the page number in quotes. Example: &quot;A&quot;. If the logical page numbers include quote or backslash symbols, add a &apos;\\&apos; before the quote or backslash. Example, from page \\5 to page &quot;12&quot; : ";"使用逻辑页码，并用双引号将其框起来。 例如：&quot;A&quot;。如果逻辑页码中包含双引号或者反斜线符号，需要在双引号或者反斜线符号前添加&apos;\\&apos;。例如，从页面\\5到页面&quot;12&quot;： ";;
"002869F5/66/0";"Total %d Files";"共 %d 个文件";;
"002869F5/85/0";"There are more than one page that display the same page number you entered.";"有多个页面显示您输入的相同页码。";;
"002869F5/95/0";"The specified path for the template could not be found. Please check the path and try again.";"找不到模板的指定路径。请检查路径，然后重试。";;
"002869F5/96/0";"The administrator has updated some new templates.\nHere are the details:";"管理员更新了一些新模板。\n详情如下：";;
"002869F5/97/0";"No new templates are available.";"没有可用的新模板。";;
"002869F5/55/0";"Please enter a valid email address.";"请输入有效的电子邮箱地址。";;
"002869F5/56/0";"Do &amp;not show this message again";"不再显示该消息(&amp;N)";;
"002869F5/94/0";"No page is selected. Please select appropriate options.";"未选择任何页面。请选择合适的选项。";;
"002869F5/98/0";"Sign";"签名";;
"002869F5/99/0";"Type";"类型";;
"002869F5/100/0";"Operation";"操作";;
"002869F5/101/0";"Trigger Event";"触发事件";;
"0C8050EB/1/0";"please add file description ";"请添加文件描述";;
"0C8050EB/2/0";"Copyright ? 2010-2026 Foxit Software Inc. All Rights Reserved.";"2010-2026 福昕软件 版权所有。";;
"0C8050EB/3/0";"Cancel";"取消";;
"0C8050EB/4/0";"OK";"确定";;
"0C8050EB/5/0";"&amp;Reset";"重置(&amp;R)";;
"0C8050EB/6/0";"Batch Redact";"批量密文";;
"0C8050EB/7/0";"Convert";"转换";;
"0C8050EB/8/0";"Current File";"当前文件";;
"0C8050EB/9/0";"Generating output";"生成输出";;
"0C8050EB/10/0";"Home";"主页";;
"0C8050EB/11/0";"Multiple Files";"多个文件";;
"0C8050EB/12/0";"Foxit Smart Redact requires a separate subscription. Please register or log in with your Foxit Account to continue.";"福昕智能密文需要单独订阅。请注册或者登录您的福昕账户后继续。";;
"0C8050EB/13/0";"Please select the folder for output files.";"请为输出文件选择文件夹。";;
"0C8050EB/14/0";"Is it time-consuming to mark for redaction one by one? Foxit Smart Redact makes it quick and easy to remove sensitive information. You can find it under &quot;Protect-&gt;Smart Redact&quot;.";"逐条密文处理耗时吗?福昕智能密文使它可以快速并轻松地删除敏感信息。您可以在“保护-&gt;批量密文”下找到它。";;
"0C8050EB/15/0";"File ";"文件";;
"0C8050EB/16/0";"PDF Files";"PDF文件";;
"0C8050EB/17/0";"Please input a filename prefix or suffix.";"请输入一个文件名前缀或者后缀。";;
"0C8050EB/18/0";"Select folder for Output files";"选择输出文件夹";;
"0C8050EB/19/0";"Get Started";"开始";;
"0C8050EB/20/0";"Add Files...";"添加文件...";;
"0C8050EB/21/0";"Add Folders...";"添加文件夹...";;
"0C8050EB/22/0";"Add Open Files...";"添加打开的文件...";;
"0C8050EB/23/0";"Not now";"以后再说";;
"0C8050EB/24/0";" of ";" / ";;
"0C8050EB/25/0";"Current settings would require overwriting existing files. Please allow overwriting existing files,\nor change other settings so that overwriting is not necessary.";"当前的设置需要覆盖现有的文件。请允许覆盖现有文件，或更改其他设置，以便不需要覆盖。";;
"0C8050EB/26/0";"Close";"关闭";;
"0C8050EB/27/0";"Processing...";"正在处理...";;
"0C8050EB/28/0";"You do not have access rights to this encrypted document.";"您没有权限访问该加密文件。";;
"0C8050EB/29/0";"Warnings/Error";"警告/错误";;
"0C8050EB/30/0";"Please remove problem files from the list.";"请从列表中移除有问题的文件。";;
"0C8050EB/31/0";"Invalid password. Please input again.";"密码错误。请重新输入。";;
"0C8050EB/32/0";"Location";"位置";;
"0C8050EB/33/0";"Modified";"修改时间";;
"0C8050EB/34/0";"Name";"名称";;
"0C8050EB/35/0";"Size";"大小";;
"0C8050EB/36/0";"All PDF files under the selected folder and subfolders will be added.";"该文件夹及其子文件夹中所有PDF文件将都被添加到列表中。";;
"0C8050EB/37/0";"Format error: Not a PDF or corrupted.";"格式错误：不是一个PDF文件或该文件已损坏。";;
"0C8050EB/38/0";"Do &amp;not show this message again";"不再显示该消息(&amp;N)";;
"0C8050EB/39/0";"There was an error opening this document. This file is damaged and could not be repaired.";"打开文件时出现错误，该文件已被破坏且无法被修复。";;
"0C8050EB/40/0";"This file is not saved.";"该文件没有保存。";;
"0C8050EB/41/0";"The file &quot;&quot;%ls&quot;&quot; is protected. Please enter a Permission Password.";"“%ls”是一个受保护的文档。请输入权限密码。";;
"0C8050EB/42/0";"Failed to parse the file.";"无法解析文档。";;
"0C8050EB/43/0";"The file &quot;&quot;%ls&quot;&quot; is protected. Please enter a Document Open Password.";"“%ls”是一个受保护的文档。请输入文档打开密码。";;
"0C8050EB/44/0";"File needs permission to run Batch Redaction.";"文件需要运行批量密文的权限。";;
"0C8050EB/45/0";"This file is protected.";"该文件受保护。";;
"0C8050EB/46/0";"Adobe XML forms cannot be processed by Batch Redaction.";"批量密文无法处理Adobe XML表单。";;
